UF,Município,Latitude,Longitude,"2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","Total"
AC,BUJARI,-9.82001962670937,-67.9518592792014,0,0,0,0,2,0,9,0,0,0,11
AC,FEIJÓ,-8.16024753,-70.3539836082165,0,0,0,0,0,0,0,0,7,0,7
AC,PLÁCIDO DE CASTRO,-10.3351332827426,-67.1882600861516,0,0,0,0,0,0,0,0,8,0,8
AC,PORTO ACRE,-9.60085823118788,-67.5405900835194,0,0,0,0,0,0,0,8,0,0,8
AC,RIO BRANCO,-9.97829875272498,-67.8105287004235,0,0,62,0,0,0,1,0,0,0,63
AC,SENA MADUREIRA,-9.065339505,-68.655684061692,0,0,0,8,0,0,0,0,0,0,8
AC,XAPURI,-10.6520719403354,-68.5062948050462,0,0,0,0,0,0,4,0,0,0,4
AL,PENEDO,-10.2961102979023,-36.5804602140902,0,0,0,0,0,203,0,0,0,0,203
AL,RIO LARGO,-9.48615760833584,-35.8524223085924,0,0,0,0,0,401,0,0,0,0,401
AL,ROTEIRO,-9.83218949018835,-35.9812102213932,0,0,0,0,0,0,0,0,51,0,51
AL,UNIÃO DOS PALMARES,-9.159524116522,-36.0331428428073,0,0,0,0,0,52,0,0,0,0,52
AM,BARREIRINHA,-2.79814983692979,-57.0677504898937,0,0,0,0,0,19,0,0,0,0,19
AM,BOCA DO ACRE,-8.75124319609378,-67.3995777566805,0,0,0,0,0,8,0,0,42,159,209
AM,LÁBREA,-7.26194655332705,-64.79477302752,0,2,0,14,10,31,0,9,8,3,77
AM,MANAUS,-3.13469149120194,-60.023335181061,0,0,0,0,0,0,0,0,4,0,4
AM,MANICORÉ,-5.81320526118813,-61.2992484088507,0,0,0,0,0,0,0,0,9,0,9
AM,PARINTINS,-2.62705258583722,-56.736292145195,0,0,0,0,0,15,0,0,0,0,15
AM,PRESIDENTE FIGUEIREDO,-2.058429085233,-60.0256468344674,0,0,0,0,0,12,0,0,0,0,12
BA,BAIANÓPOLIS,-12.3041247007939,-44.5360980467186,0,29,0,20,0,0,0,0,0,0,49
BA,BARRA DO CHOÇA,-14.864273042783,-40.5763729895987,0,0,0,0,0,0,0,17,0,0,17
